NORTHEAST REGION FISH BYCATCH BY FISHERY 4,,,,,,
First Edition Update 2: 2011 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Mid-Atlantic Extra-Large-Mesh Gillnet,,,,,,
Acadian redfish,Sebastes fasciatus,2011,                   0.00,POUND,,a
American plaice,Hippoglossoides platessoides,2011,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2011,                 366.99,POUND,.408,b
Atlantic halibut,Hippoglossus hippoglossus,2011,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2011,                   0.00,POUND,,
Atlantic mackerel,Scomber scombrus,2011,                 314.56,POUND,.4898,
Atlantic salmon,Salmo salar,2011,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2011,                   0.00,POUND,,
Atlantic wolffish,Anarhichas lupus,2011,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2011,                   0.00,POUND,,
Bluefish,Pomatomus saltatrix,2011,"              19,945.17",POUND,.2901,
Butterfish,Peprilus triacanthus,2011,                   0.00,POUND,,
Goosefish,Lophius americanus,2011,"             418,660.38",POUND,.2078,"e, f"
Haddock,Melanogrammus aeglefinus,2011,                   0.00,POUND,,g
Longfin inshore squid,Loligo pealeii,2011,                   0.00,POUND,,h
Northern shortfin squid,Illex illecebrosus,2011,                   0.00,POUND,,i
Ocean pout,Zoarces americanus,2011,                   0.00,POUND,,
Ocean quahog,Arctica islandica,2011,                   0.00,POUND,,
Offshore hake,Merluccius albidus,2011,                   0.00,POUND,,
Pollock,Pollachius virens,2011,                   0.00,POUND,,
Red deepsea crab,Chaceon quinquedens,2011,                   0.00,POUND,,j
Red hake,Urophycis chuss,2011,                 156.90,POUND,.8356,k
Scup,Stenotomus chrysops,2011,                   0.00,POUND,,
Sea scallop,Placopecten magellanicus,2011,                 668.37,POUND,.5627,l
Silver hake,Merluccius bilinearis,2011,                  52.30,POUND,.8293,m
Skate Complex,Rajidae,2011,"           1,065,962.46",POUND,.2955,n
Spiny dogfish,Squalus acanthias,2011,"             174,233.16",POUND,.1874,
Summer flounder,Paralichthys dentatus,2011,"              26,190.44",POUND,.3726,
Tilefish,Lopholatilus chamaeleonticeps,2011,                   0.00,POUND,,
White hake,Urophycis tenuis,2011,                   0.00,POUND,,
Windowpane,Scophthalmus aquosus,2011,                  61.92,POUND,.8157,"p, q"
Winter flounder,Pseudopleuronectes americanus,2011,                   0.00,POUND,,r
Witch flounder,Glyptocephalus cynoglossus,2011,                 133.94,POUND,1.355,
Yellowtail flounder,Limanda ferruginea,2011,                   0.00,POUND,,s
TOTAL FISHERY BYCATCH,,,"           1,706,746.59",POUND,,
TOTAL FISHERY LANDINGS,,,"           7,645,943.11",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"           9,352,689.70",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.18,,,
Mid-Atlantic General Category Closed Area Scallop Dredge,,,,,,
Acadian redfish,Sebastes fasciatus,2011,                   0.00,POUND,,a
American plaice,Hippoglossoides platessoides,2011,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2011,                   0.00,POUND,,b
Atlantic halibut,Hippoglossus hippoglossus,2011,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2011,                   0.00,POUND,,
Atlantic mackerel,Scomber scombrus,2011,                   0.00,POUND,,
Atlantic salmon,Salmo salar,2011,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2011,                  27.80,POUND,.9305,
Atlantic wolffish,Anarhichas lupus,2011,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2011,                   5.56,POUND,.9662,
Bluefish,Pomatomus saltatrix,2011,                   0.00,POUND,,
Butterfish,Peprilus triacanthus,2011,                  12.86,POUND,1.0249,
Goosefish,Lophius americanus,2011,"              27,734.63",POUND,.1937,"e, f"
