NORTHEAST REGION FISH BYCATCH BY FISHERY 4,,,,,,
First Edition Update 2: 2012 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Black sea bass,Centropristis striata,2012,"               1,415.00",POUND,1.1391,
Bluefish,Pomatomus saltatrix,2012,                   0.00,POUND,,
Butterfish,Peprilus triacanthus,2012,                   0.00,POUND,,
Goosefish,Lophius americanus,2012,"             109,315.84",POUND,.2677,"e, f"
Haddock,Melanogrammus aeglefinus,2012,                   0.00,POUND,,g
Longfin inshore squid,Loligo pealeii,2012,"               1,448.06",POUND,.4819,h
Northern shortfin squid,Illex illecebrosus,2012,                   0.00,POUND,,i
Ocean pout,Zoarces americanus,2012,                   0.00,POUND,,
Ocean quahog,Arctica islandica,2012,"               5,115.65",POUND,1.0189,
Offshore hake,Merluccius albidus,2012,                   0.00,POUND,,
Pollock,Pollachius virens,2012,                   0.00,POUND,,
Red deepsea crab,Chaceon quinquedens,2012,                   0.00,POUND,,j
Red hake,Urophycis chuss,2012,"               1,170.09",POUND,1.1391,k
Scup,Stenotomus chrysops,2012,                   0.00,POUND,,
Sea scallop,Placopecten magellanicus,2012,"              43,691.48",POUND,1.0257,l
Silver hake,Merluccius bilinearis,2012,                 508.47,POUND,.4671,m
Skate Complex,Rajidae,2012,"           1,872,571.00",POUND,.5317,n
Spiny dogfish,Squalus acanthias,2012,"              34,774.75",POUND,.8377,
Summer flounder,Paralichthys dentatus,2012,"             126,646.60",POUND,.9614,
Tilefish,Lopholatilus chamaeleonticeps,2012,                   0.00,POUND,,
White hake,Urophycis tenuis,2012,                   0.00,POUND,,
Windowpane,Scophthalmus aquosus,2012,"              33,028.29",POUND,.5969,"p, q"
Winter flounder,Pseudopleuronectes americanus,2012,"               9,525.60",POUND,.4717,r
Witch flounder,Glyptocephalus cynoglossus,2012,"               1,278.94",POUND,1.1391,
Yellowtail flounder,Limanda ferruginea,2012,"              10,843.73",POUND,.615,s
TOTAL FISHERY BYCATCH,,,"           2,251,578.40",POUND,,
TOTAL FISHERY LANDINGS,,,"          11,981,655.53",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"          14,233,233.93",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.16,,,
Mid-Atlantic General Category Open Area Scallop Trawl,,,,,,
Acadian redfish,Sebastes fasciatus,2012,                   0.00,POUND,,a
American plaice,Hippoglossoides platessoides,2012,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2012,                   0.00,POUND,,b
Atlantic halibut,Hippoglossus hippoglossus,2012,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2012,                   0.00,POUND,,
Atlantic mackerel,Scomber scombrus,2012,                 152.60,POUND,.6433,
Atlantic salmon,Salmo salar,2012,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2012,                   0.00,POUND,,
Atlantic wolffish,Anarhichas lupus,2012,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2012,                 124.45,POUND,.5128,
Bluefish,Pomatomus saltatrix,2012,                   0.00,POUND,,
Butterfish,Peprilus triacanthus,2012,                  30.02,POUND,.7104,
Goosefish,Lophius americanus,2012,"               7,430.06",POUND,.4687,"e, f"
Haddock,Melanogrammus aeglefinus,2012,                   0.00,POUND,,g
Longfin inshore squid,Loligo pealeii,2012,                 746.27,POUND,.59,h
Northern shortfin squid,Illex illecebrosus,2012,                   0.00,POUND,,i
Ocean pout,Zoarces americanus,2012,"               1,936.32",POUND,.7789,
Ocean quahog,Arctica islandica,2012,                   0.00,POUND,,
Offshore hake,Merluccius albidus,2012,                   0.00,POUND,,
Pollock,Pollachius virens,2012,                   0.00,POUND,,
Red deepsea crab,Chaceon quinquedens,2012,                   0.00,POUND,,j
Red hake,Urophycis chuss,2012,                 777.36,POUND,.4714,k
Scup,Stenotomus chrysops,2012,                  53.33,POUND,.4732,
Sea scallop,Placopecten magellanicus,2012,"              46,363.01",POUND,.4521,l
Silver hake,Merluccius bilinearis,2012,                 687.00,POUND,1.9161,m
Skate Complex,Rajidae,2012,"           1,049,449.60",POUND,1.1062,n
Spiny dogfish,Squalus acanthias,2012,"             224,303.67",POUND,.4703,
Summer flounder,Paralichthys dentatus,2012,"              13,798.43",POUND,.5074,
Tilefish,Lopholatilus chamaeleonticeps,2012,                   0.00,POUND,,
White hake,Urophycis tenuis,2012,                   0.00,POUND,,
Windowpane,Scophthalmus aquosus,2012,"              28,136.46",POUND,.3616,"p, q"
Winter flounder,Pseudopleuronectes americanus,2012,"               2,674.30",POUND,.5193,r
Witch flounder,Glyptocephalus cynoglossus,2012,                   0.00,POUND,,
Yellowtail flounder,Limanda ferruginea,2012,"              11,659.15",POUND,.6074,s
TOTAL FISHERY BYCATCH,,,"           1,388,322.03",POUND,,
TOTAL FISHERY LANDINGS,,,"           1,409,027.61",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"           2,797,349.64",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.50,,,
Mid-Atlantic Large-Mesh Otter Trawl,,,,,,
Acadian redfish,Sebastes fasciatus,2012,                   0.00,POUND,,a
American plaice,Hippoglossoides platessoides,2012,"               9,820.70",POUND,1.3071,
Atlantic cod,Gadus morhua,2012,                 835.01,POUND,1.3233,b
Atlantic halibut,Hippoglossus hippoglossus,2012,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2012,                 245.46,POUND,1.2405,
Atlantic mackerel,Scomber scombrus,2012,                   7.01,POUND,1.4267,
Atlantic salmon,Salmo salar,2012,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2012,                   0.00,POUND,,
Atlantic wolffish,Anarhichas lupus,2012,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2012,"              32,261.28",POUND,.6892,
Bluefish,Pomatomus saltatrix,2012,"               1,569.75",POUND,.7533,
Butterfish,Peprilus triacanthus,2012,"               2,051.41",POUND,.4546,
Goosefish,Lophius americanus,2012,"             287,080.30",POUND,.4367,"e, f"
Haddock,Melanogrammus aeglefinus,2012,                   5.26,POUND,1.4265,g
Longfin inshore squid,Loligo pealeii,2012,"               3,293.10",POUND,.4279,h
Northern shortfin squid,Illex illecebrosus,2012,"               2,394.61",POUND,.5446,i
Ocean pout,Zoarces americanus,2012,"              45,695.45",POUND,.3725,
Ocean quahog,Arctica islandica,2012,                   0.00,POUND,,
Offshore hake,Merluccius albidus,2012,                 219.16,POUND,1.0942,
Pollock,Pollachius virens,2012,                   0.00,POUND,,
Red deepsea crab,Chaceon quinquedens,2012,"               4,382.73",POUND,.4116,j
Red hake,Urophycis chuss,2012,"              21,056.76",POUND,.2348,k
Scup,Stenotomus chrysops,2012,"              77,786.61",POUND,.3861,
Sea scallop,Placopecten magellanicus,2012,"              82,045.93",POUND,.7261,l
Silver hake,Merluccius bilinearis,2012,"              18,397.57",POUND,.2634,m
Skate Complex,Rajidae,2012,"           8,869,698.88",POUND,.1417,n
Spiny dogfish,Squalus acanthias,2012,"             889,485.19",POUND,.3978,
Summer flounder,Paralichthys dentatus,2012,"             126,270.76",POUND,.2423,
Tilefish,Lopholatilus chamaeleonticeps,2012,                   0.00,POUND,,
White hake,Urophycis tenuis,2012,                  17.53,POUND,1.4224,
Windowpane,Scophthalmus aquosus,2012,"             725,000.04",POUND,.1707,"p, q"
Winter flounder,Pseudopleuronectes americanus,2012,"             320,439.90",POUND,.2291,r
Witch flounder,Glyptocephalus cynoglossus,2012,"              16,072.44",POUND,.5332,
Yellowtail flounder,Limanda ferruginea,2012,"              11,883.76",POUND,.4383,s
TOTAL FISHERY BYCATCH,,,"          11,548,016.60",POUND,,
TOTAL FISHERY LANDINGS,,,"          17,648,385.27",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"          29,196,401.87",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.40,,,
Mid-Atlantic Limited Access Closed Area Scallop Dredge,,,,,,
Acadian redfish,Sebastes fasciatus,2012,                   0.00,POUND,,a
American plaice,Hippoglossoides platessoides,2012,                 199.47,POUND,.5438,
Atlantic cod,Gadus morhua,2012,                   5.21,POUND,.8375,b
Atlantic halibut,Hippoglossus hippoglossus,2012,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2012,                  14.59,POUND,.5204,
Atlantic mackerel,Scomber scombrus,2012,                   0.00,POUND,,
