NORTHEAST REGION SEA TURTLE BYCATCH BY FISHERY ,,,,,,
First Edition Update 1: 2010 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Mid-Atlantic Gillnet Fisheries,,,,,,
Loggerhead sea turtle,Caretta caretta,1995-2006,                 350.00,INDIVIDUAL,.2,x
Fishery Total,,,                 350.00,,,
Mid-Atlantic Otter Trawl Fisheries,,,,,,
Loggerhead sea turtle,Caretta caretta,2005-2008,                 353.00,INDIVIDUAL,.12,y
Fishery Total,,,                 353.00,,,
Mid-Atlantic Scallop Dredge Fisheries,,,,,,
Loggerhead and unidentified hard-shelled sea turtles,Cheloniidae,2006-2008,                 125.00,INDIVIDUAL,.15,z
Fishery Total,,,                 125.00,,,
Grand Total,,,                 828.00,,,
