NORTHEAST REGION FISH BYCATCH BY FISHERY 4,,,,,,
First Edition Update 2: 2013 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Mid-Atlantic Extra-Large-Mesh Gillnet,,,,,,
Acadian redfish,Sebastes fasciatus,2013,                   0.00,POUND,,a
American plaice,Hippoglossoides platessoides,2013,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2013,                   0.00,POUND,,b
Atlantic halibut,Hippoglossus hippoglossus,2013,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2013,                   0.00,POUND,,
Atlantic mackerel,Scomber scombrus,2013,                   0.00,POUND,,
Atlantic salmon,Salmo salar,2013,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2013,                   0.00,POUND,,
Atlantic wolffish,Anarhichas lupus,2013,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2013,                   0.00,POUND,,
Bluefish,Pomatomus saltatrix,2013,"               9,046.83",POUND,.4601,
Butterfish,Peprilus triacanthus,2013,                   0.00,POUND,,
Goosefish,Lophius americanus,2013,"             228,431.72",POUND,.4692,"e, f"
Haddock,Melanogrammus aeglefinus,2013,                   0.00,POUND,,g
Longfin inshore squid,Loligo pealeii,2013,                   0.00,POUND,,h
Northern shortfin squid,Illex illecebrosus,2013,                   0.00,POUND,,i
Ocean pout,Zoarces americanus,2013,                   0.00,POUND,,
Ocean quahog,Arctica islandica,2013,                   0.00,POUND,,
Offshore hake,Merluccius albidus,2013,                   0.00,POUND,,
Pollock,Pollachius virens,2013,                 256.46,POUND,1.0585,
Red deepsea crab,Chaceon quinquedens,2013,                   0.00,POUND,,j
Red hake,Urophycis chuss,2013,                   0.00,POUND,,k
Scup,Stenotomus chrysops,2013,                   0.00,POUND,,
Sea scallop,Placopecten magellanicus,2013,                 264.01,POUND,1.0189,l
Silver hake,Merluccius bilinearis,2013,                   0.00,POUND,,m
Skate Complex,Rajidae,2013,"             464,137.76",POUND,.2732,n
Spiny dogfish,Squalus acanthias,2013,"             256,142.04",POUND,.3525,
Summer flounder,Paralichthys dentatus,2013,"              32,799.29",POUND,.5722,
Tilefish,Lopholatilus chamaeleonticeps,2013,                   0.00,POUND,,
White hake,Urophycis tenuis,2013,                   0.00,POUND,,
Windowpane,Scophthalmus aquosus,2013,                 112.27,POUND,.7325,"p, q"
Winter flounder,Pseudopleuronectes americanus,2013,                 301.72,POUND,1.0585,r
Witch flounder,Glyptocephalus cynoglossus,2013,                   0.00,POUND,,
Yellowtail flounder,Limanda ferruginea,2013,                   0.00,POUND,,s
TOTAL FISHERY BYCATCH,,,"             991,492.10",POUND,,
TOTAL FISHERY LANDINGS,,,"           6,517,681.26",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"           7,509,173.36",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.13,,,
Mid-Atlantic General Category Open Area Scallop Dredge,,,,,,
Acadian redfish,Sebastes fasciatus,2013,                   0.00,POUND,,a
American plaice,Hippoglossoides platessoides,2013,                  51.27,POUND,.772,
Atlantic cod,Gadus morhua,2013,                  17.09,POUND,.772,b
Atlantic halibut,Hippoglossus hippoglossus,2013,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2013,                   0.00,POUND,,
Atlantic mackerel,Scomber scombrus,2013,                   0.00,POUND,,
Atlantic salmon,Salmo salar,2013,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2013,                 856.60,POUND,1.0983,
Atlantic wolffish,Anarhichas lupus,2013,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2013,                 199.21,POUND,.4659,
Bluefish,Pomatomus saltatrix,2013,                   0.00,POUND,,
Butterfish,Peprilus triacanthus,2013,                  44.04,POUND,.6656,
Goosefish,Lophius americanus,2013,"              64,274.54",POUND,.1702,"e, f"
Haddock,Melanogrammus aeglefinus,2013,                   0.00,POUND,,g
Longfin inshore squid,Loligo pealeii,2013,                 858.89,POUND,.3169,h
Northern shortfin squid,Illex illecebrosus,2013,                  16.95,POUND,1.0207,i
Ocean pout,Zoarces americanus,2013,                   7.26,POUND,1.097,
Ocean quahog,Arctica islandica,2013,                   0.00,POUND,,
Offshore hake,Merluccius albidus,2013,                   0.00,POUND,,
Pollock,Pollachius virens,2013,                   0.00,POUND,,
Red deepsea crab,Chaceon quinquedens,2013,                   0.00,POUND,,j
Red hake,Urophycis chuss,2013,"               1,353.59",POUND,.3033,k
Scup,Stenotomus chrysops,2013,                 113.01,POUND,.4855,
Sea scallop,Placopecten magellanicus,2013,"             124,591.47",POUND,.262,l
Silver hake,Merluccius bilinearis,2013,"               1,506.77",POUND,.2389,m
Skate Complex,Rajidae,2013,"           1,394,427.19",POUND,.1281,n
Spiny dogfish,Squalus acanthias,2013,"               5,111.05",POUND,.2566,
Summer flounder,Paralichthys dentatus,2013,"              32,110.28",POUND,.1984,
Tilefish,Lopholatilus chamaeleonticeps,2013,                   0.00,POUND,,
White hake,Urophycis tenuis,2013,                   0.00,POUND,,
Windowpane,Scophthalmus aquosus,2013,"              46,929.38",POUND,.128,"p, q"
Winter flounder,Pseudopleuronectes americanus,2013,"               3,567.68",POUND,.3057,r
Witch flounder,Glyptocephalus cynoglossus,2013,                 254.54,POUND,.6058,
Yellowtail flounder,Limanda ferruginea,2013,"               7,822.99",POUND,.2159,s
TOTAL FISHERY BYCATCH,,,"           1,684,113.80",POUND,,
TOTAL FISHERY LANDINGS,,,"          10,772,280.47",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"          12,456,394.27",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.14,,,
Mid-Atlantic General Category Open Area Scallop Trawl,,,,,,
Acadian redfish,Sebastes fasciatus,2013,                   0.00,POUND,,a
American plaice,Hippoglossoides platessoides,2013,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2013,                   0.00,POUND,,b
Atlantic halibut,Hippoglossus hippoglossus,2013,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2013,                   0.00,POUND,,
Atlantic mackerel,Scomber scombrus,2013,                   0.00,POUND,,
Atlantic salmon,Salmo salar,2013,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2013,                   0.00,POUND,,
Atlantic wolffish,Anarhichas lupus,2013,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2013,                   0.00,POUND,,
Bluefish,Pomatomus saltatrix,2013,                   0.00,POUND,,
Butterfish,Peprilus triacanthus,2013,                 123.75,POUND,.6971,
Goosefish,Lophius americanus,2013,"              13,528.39",POUND,.2316,"e, f"
Haddock,Melanogrammus aeglefinus,2013,                  26.90,POUND,1.0266,g
Longfin inshore squid,Loligo pealeii,2013,                 231.75,POUND,.3693,h
Northern shortfin squid,Illex illecebrosus,2013,                   6.21,POUND,.8429,i
Ocean pout,Zoarces americanus,2013,                 578.30,POUND,.7922,
Ocean quahog,Arctica islandica,2013,                   0.00,POUND,,
Offshore hake,Merluccius albidus,2013,                   0.00,POUND,,
Pollock,Pollachius virens,2013,                   0.00,POUND,,
Red deepsea crab,Chaceon quinquedens,2013,                   0.00,POUND,,j
Red hake,Urophycis chuss,2013,                 405.89,POUND,.5372,k
Scup,Stenotomus chrysops,2013,                   0.00,POUND,,
Sea scallop,Placopecten magellanicus,2013,"             120,360.68",POUND,.3738,l
Silver hake,Merluccius bilinearis,2013,"               1,533.55",POUND,.6865,m
Skate Complex,Rajidae,2013,"             789,369.07",POUND,.2275,n
Spiny dogfish,Squalus acanthias,2013,"              36,418.01",POUND,.3687,
Summer flounder,Paralichthys dentatus,2013,"              13,612.97",POUND,.4288,
Tilefish,Lopholatilus chamaeleonticeps,2013,                   0.00,POUND,,
White hake,Urophycis tenuis,2013,                   0.00,POUND,,
Windowpane,Scophthalmus aquosus,2013,"               4,107.82",POUND,.4049,"p, q"
Winter flounder,Pseudopleuronectes americanus,2013,"               3,120.80",POUND,.544,r
Witch flounder,Glyptocephalus cynoglossus,2013,                  80.70,POUND,.8559,
Yellowtail flounder,Limanda ferruginea,2013,"               4,630.54",POUND,.2272,s
TOTAL FISHERY BYCATCH,,,"             988,135.33",POUND,,
TOTAL FISHERY LANDINGS,,,"           1,232,003.80",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"           2,220,139.13",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.45,,,
Mid-Atlantic Large-Mesh Gillnet,,,,,,
Acadian redfish,Sebastes fasciatus,2013,                   0.00,POUND,,a
American plaice,Hippoglossoides platessoides,2013,                  72.91,POUND,1.0391,
Atlantic cod,Gadus morhua,2013,"               1,166.53",POUND,1.0391,b
Atlantic halibut,Hippoglossus hippoglossus,2013,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2013,                   0.00,POUND,,
Atlantic mackerel,Scomber scombrus,2013,                   0.00,POUND,,
Atlantic salmon,Salmo salar,2013,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2013,                   0.00,POUND,,
Atlantic wolffish,Anarhichas lupus,2013,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2013,                   0.00,POUND,,
Bluefish,Pomatomus saltatrix,2013,                   0.00,POUND,,
Butterfish,Peprilus triacanthus,2013,                   0.00,POUND,,
Goosefish,Lophius americanus,2013,                   0.00,POUND,,"e, f"
Haddock,Melanogrammus aeglefinus,2013,                   0.00,POUND,,g
Longfin inshore squid,Loligo pealeii,2013,                   0.00,POUND,,h
Northern shortfin squid,Illex illecebrosus,2013,                   0.00,POUND,,i
Ocean pout,Zoarces americanus,2013,                   0.00,POUND,,
Ocean quahog,Arctica islandica,2013,                   0.00,POUND,,
Offshore hake,Merluccius albidus,2013,                   0.00,POUND,,
